FIPStxt,State,Area_Name,POP_ESTIMATE_2019
00000,US,United States,"328,239,523"
01000,AL,Alabama,"4,903,185"
01001,AL,Autauga County,"55,869"
01003,AL,Baldwin County,"223,234"
01005,AL,Barbour County,"24,686"
01007,AL,Bibb County,"22,394"
01009,AL,Blount County,"57,826"
01011,AL,Bullock County,"10,101"
01013,AL,Butler County,"19,448"
01015,AL,Calhoun County,"113,605"
01017,AL,Chambers County,"33,254"
01019,AL,Cherokee County,"26,196"
01021,AL,Chilton County,"44,428"
01023,AL,Choctaw County,"12,589"
01025,AL,Clarke County,"23,622"
01027,AL,Clay County,"13,235"
01029,AL,Cleburne County,"14,910"
01031,AL,Coffee County,"52,342"
01033,AL,Colbert County,"55,241"
01035,AL,Conecuh County,"12,067"
01037,AL,Coosa County,"10,663"
01039,AL,Covington County,"37,049"
01041,AL,Crenshaw County,"13,772"
01043,AL,Cullman County,"83,768"
01045,AL,Dale County,"49,172"
01047,AL,Dallas County,"37,196"
01049,AL,DeKalb County,"71,513"
01051,AL,Elmore County,"81,209"
01053,AL,Escambia County,"36,633"
01055,AL,Etowah County,"102,268"
01057,AL,Fayette County,"16,302"
01059,AL,Franklin County,"31,362"
01061,AL,Geneva County,"26,271"
01063,AL,Greene County,"8,111"
01065,AL,Hale County,"14,651"
01067,AL,Henry County,"17,205"
01069,AL,Houston County,"105,882"
01071,AL,Jackson County,"51,626"
01073,AL,Jefferson County,"658,573"
01075,AL,Lamar County,"13,805"
01077,AL,Lauderdale County,"92,729"
01079,AL,Lawrence County,"32,924"
01081,AL,Lee County,"164,542"
01083,AL,Limestone County,"98,915"
01085,AL,Lowndes County,"9,726"
01087,AL,Macon County,"18,068"
01089,AL,Madison County,"372,909"
01091,AL,Marengo County,"18,863"
01093,AL,Marion County,"29,709"
01095,AL,Marshall County,"96,774"
01097,AL,Mobile County,"413,210"
01099,AL,Monroe County,"20,733"
01101,AL,Montgomery County,"226,486"
01103,AL,Morgan County,"119,679"
01105,AL,Perry County,"8,923"
01107,AL,Pickens County,"19,930"
01109,AL,Pike County,"33,114"
01111,AL,Randolph County,"22,722"
01113,AL,Russell County,"57,961"
01115,AL,St. Clair County,"89,512"
01117,AL,Shelby County,"217,702"
01119,AL,Sumter County,"12,427"
01121,AL,Talladega County,"79,978"
01123,AL,Tallapoosa County,"40,367"
01125,AL,Tuscaloosa County,"209,355"
01127,AL,Walker County,"63,521"
01129,AL,Washington County,"16,326"
01131,AL,Wilcox County,"10,373"
01133,AL,Winston County,"23,629"
02000,AK,Alaska,"731,545"
02013,AK,Aleutians East Borough,"3,337"
02016,AK,Aleutians West Census Area,"5,634"
02020,AK,Anchorage Municipality,"288,000"
02050,AK,Bethel Census Area,"18,386"
02060,AK,Bristol Bay Borough,836
02068,AK,Denali Borough,"2,097"
02070,AK,Dillingham Census Area,"4,916"
02090,AK,Fairbanks North Star Borough,"96,849"
02100,AK,Haines Borough,"2,530"
02105,AK,Hoonah-Angoon Census Area,"2,148"
02110,AK,Juneau City and Borough,"31,974"
02122,AK,Kenai Peninsula Borough,"58,708"
02130,AK,Ketchikan Gateway Borough,"13,901"
02150,AK,Kodiak Island Borough,"12,998"
02158,AK,Kusilvak Census Area,"8,314"
02164,AK,Lake and Peninsula Borough,"1,592"
02170,AK,Matanuska-Susitna Borough,"108,317"
02180,AK,Nome Census Area,"10,004"
02185,AK,North Slope Borough,"9,832"
02188,AK,Northwest Arctic Borough,"7,621"
02195,AK,Petersburg Borough,"3,266"
02198,AK,Prince of Wales-Hyder Census Area,"6,203"
02220,AK,Sitka City and Borough,"8,493"
02230,AK,Skagway Municipality,"1,183"
02240,AK,Southeast Fairbanks Census Area,"6,893"
02261,AK,Valdez-Cordova Census Area,"9,202"
02275,AK,Wrangell City and Borough,"2,502"
02282,AK,Yakutat City and Borough,579
02290,AK,Yukon-Koyukuk Census Area,"5,230"
04000,AZ,Arizona,"7,278,717"
04001,AZ,Apache County,"71,887"
04003,AZ,Cochise County,"125,922"
04005,AZ,Coconino County,"143,476"
04007,AZ,Gila County,"54,018"
04009,AZ,Graham County,"38,837"
04011,AZ,Greenlee County,"9,498"
04012,AZ,La Paz County,"21,108"
04013,AZ,Maricopa County,"4,485,414"
04015,AZ,Mohave County,"212,181"
04017,AZ,Navajo County,"110,924"
04019,AZ,Pima County,"1,047,279"
04021,AZ,Pinal County,"462,789"
04023,AZ,Santa Cruz County,"46,498"
04025,AZ,Yavapai County,"235,099"
04027,AZ,Yuma County,"213,787"
05000,AR,Arkansas,"3,017,804"
05001,AR,Arkansas County,"17,486"
05003,AR,Ashley County,"19,657"
05005,AR,Baxter County,"41,932"
05007,AR,Benton County,"279,141"
05009,AR,Boone County,"37,432"
05011,AR,Bradley County,"10,763"
05013,AR,Calhoun County,"5,189"
05015,AR,Carroll County,"28,380"
05017,AR,Chicot County,"10,118"
05019,AR,Clark County,"22,320"
05021,AR,Clay County,"14,551"
05023,AR,Cleburne County,"24,919"
05025,AR,Cleveland County,"7,956"
05027,AR,Columbia County,"23,457"
05029,AR,Conway County,"20,846"
05031,AR,Craighead County,"110,332"
05033,AR,Crawford County,"63,257"
05035,AR,Crittenden County,"47,955"
05037,AR,Cross County,"16,419"
05039,AR,Dallas County,"7,009"
05041,AR,Desha County,"11,361"
05043,AR,Drew County,"18,219"
05045,AR,Faulkner County,"126,007"
05047,AR,Franklin County,"17,715"
05049,AR,Fulton County,"12,477"
05051,AR,Garland County,"99,386"
05053,AR,Grant County,"18,265"
05055,AR,Greene County,"45,325"
05057,AR,Hempstead County,"21,532"
05059,AR,Hot Spring County,"33,771"
05061,AR,Howard County,"13,202"
05063,AR,Independence County,"37,825"
05065,AR,Izard County,"13,629"
05067,AR,Jackson County,"16,719"
05069,AR,Jefferson County,"66,824"
05071,AR,Johnson County,"26,578"
05073,AR,Lafayette County,"6,624"
05075,AR,Lawrence County,"16,406"
05077,AR,Lee County,"8,857"
05079,AR,Lincoln County,"13,024"
05081,AR,Little River County,"12,259"
05083,AR,Logan County,"21,466"
05085,AR,Lonoke County,"73,309"
05087,AR,Madison County,"16,576"
05089,AR,Marion County,"16,694"
05091,AR,Miller County,"43,257"
05093,AR,Mississippi County,"40,651"
05095,AR,Monroe County,"6,701"
05097,AR,Montgomery County,"8,986"
05099,AR,Nevada County,"8,252"
05101,AR,Newton County,"7,753"
05103,AR,Ouachita County,"23,382"
05105,AR,Perry County,"10,455"
05107,AR,Phillips County,"17,782"
05109,AR,Pike County,"10,718"
05111,AR,Poinsett County,"23,528"
05113,AR,Polk County,"19,964"
05115,AR,Pope County,"64,072"
05117,AR,Prairie County,"8,062"
05119,AR,Pulaski County,"391,911"
05121,AR,Randolph County,"17,958"
05123,AR,St. Francis County,"24,994"
05125,AR,Saline County,"122,437"
05127,AR,Scott County,"10,281"
05129,AR,Searcy County,"7,881"
05131,AR,Sebastian County,"127,827"
05133,AR,Sevier County,"17,007"
05135,AR,Sharp County,"17,442"
05137,AR,Stone County,"12,506"
05139,AR,Union County,"38,682"
05141,AR,Van Buren County,"16,545"
05143,AR,Washington County,"239,187"
05145,AR,White County,"78,753"
05147,AR,Woodruff County,"6,320"
05149,AR,Yell County,"21,341"
06000,CA,California,"39,512,223"
06001,CA,Alameda County,"1,671,329"
06003,CA,Alpine County,"1,129"
06005,CA,Amador County,"39,752"
06007,CA,Butte County,"219,186"
06009,CA,Calaveras County,"45,905"
06011,CA,Colusa County,"21,547"
06013,CA,Contra Costa County,"1,153,526"
06015,CA,Del Norte County,"27,812"
06017,CA,El Dorado County,"192,843"
06019,CA,Fresno County,"999,101"
06021,CA,Glenn County,"28,393"
06023,CA,Humboldt County,"135,558"
06025,CA,Imperial County,"181,215"
06027,CA,Inyo County,"18,039"
06029,CA,Kern County,"900,202"
06031,CA,Kings County,"152,940"
06033,CA,Lake County,"64,386"
06035,CA,Lassen County,"30,573"
06037,CA,Los Angeles County,"10,039,107"
06039,CA,Madera County,"157,327"
06041,CA,Marin County,"258,826"
06043,CA,Mariposa County,"17,203"
06045,CA,Mendocino County,"86,749"
06047,CA,Merced County,"277,680"
06049,CA,Modoc County,"8,841"
06051,CA,Mono County,"14,444"
06053,CA,Monterey County,"434,061"
06055,CA,Napa County,"137,744"
06057,CA,Nevada County,"99,755"
06059,CA,Orange County,"3,175,692"
06061,CA,Placer County,"398,329"
06063,CA,Plumas County,"18,807"
06065,CA,Riverside County,"2,470,546"
06067,CA,Sacramento County,"1,552,058"
06069,CA,San Benito County,"62,808"
06071,CA,San Bernardino County,"2,180,085"
06073,CA,San Diego County,"3,338,330"
06075,CA,San Francisco County,"881,549"
06077,CA,San Joaquin County,"762,148"
06079,CA,San Luis Obispo County,"283,111"
06081,CA,San Mateo County,"766,573"
06083,CA,Santa Barbara County,"446,499"
06085,CA,Santa Clara County,"1,927,852"
06087,CA,Santa Cruz County,"273,213"
06089,CA,Shasta County,"180,080"
06091,CA,Sierra County,"3,005"
06093,CA,Siskiyou County,"43,539"
06095,CA,Solano County,"447,643"
06097,CA,Sonoma County,"494,336"
06099,CA,Stanislaus County,"550,660"
06101,CA,Sutter County,"96,971"
06103,CA,Tehama County,"65,084"
06105,CA,Trinity County,"12,285"
06107,CA,Tulare County,"466,195"
06109,CA,Tuolumne County,"54,478"
06111,CA,Ventura County,"846,006"
06113,CA,Yolo County,"220,500"
06115,CA,Yuba County,"78,668"
08000,CO,Colorado,"5,758,736"
08001,CO,Adams County,"517,421"
08003,CO,Alamosa County,"16,233"
08005,CO,Arapahoe County,"656,590"
08007,CO,Archuleta County,"14,029"
08009,CO,Baca County,"3,581"
08011,CO,Bent County,"5,577"
08013,CO,Boulder County,"326,196"
08014,CO,Broomfield County,"70,465"
08015,CO,Chaffee County,"20,356"
08017,CO,Cheyenne County,"1,831"
08019,CO,Clear Creek County,"9,700"
08021,CO,Conejos County,"8,205"
08023,CO,Costilla County,"3,887"
08025,CO,Crowley County,"6,061"
08027,CO,Custer County,"5,068"
08029,CO,Delta County,"31,162"
08031,CO,Denver County,"727,211"
08033,CO,Dolores County,"2,055"
08035,CO,Douglas County,"351,154"
08037,CO,Eagle County,"55,127"
08039,CO,Elbert County,"26,729"
08041,CO,El Paso County,"720,403"
08043,CO,Fremont County,"47,839"
08045,CO,Garfield County,"60,061"
08047,CO,Gilpin County,"6,243"
08049,CO,Grand County,"15,734"
08051,CO,Gunnison County,"17,462"
08053,CO,Hinsdale County,820
08055,CO,Huerfano County,"6,897"
08057,CO,Jackson County,"1,392"
08059,CO,Jefferson County,"582,881"
08061,CO,Kiowa County,"1,406"
08063,CO,Kit Carson County,"7,097"
08065,CO,Lake County,"8,127"
08067,CO,La Plata County,"56,221"
08069,CO,Larimer County,"356,899"
08071,CO,Las Animas County,"14,506"
08073,CO,Lincoln County,"5,701"
08075,CO,Logan County,"22,409"
08077,CO,Mesa County,"154,210"
08079,CO,Mineral County,769
08081,CO,Moffat County,"13,283"
08083,CO,Montezuma County,"26,183"
08085,CO,Montrose County,"42,758"
08087,CO,Morgan County,"29,068"
08089,CO,Otero County,"18,278"
08091,CO,Ouray County,"4,952"
08093,CO,Park County,"18,845"
08095,CO,Phillips County,"4,265"
08097,CO,Pitkin County,"17,767"
08099,CO,Prowers County,"12,172"
08101,CO,Pueblo County,"168,424"
08103,CO,Rio Blanco County,"6,324"
08105,CO,Rio Grande County,"11,267"
08107,CO,Routt County,"25,638"
08109,CO,Saguache County,"6,824"
08111,CO,San Juan County,728
08113,CO,San Miguel County,"8,179"
08115,CO,Sedgwick County,"2,248"
08117,CO,Summit County,"31,011"
08119,CO,Teller County,"25,388"
08121,CO,Washington County,"4,908"
08123,CO,Weld County,"324,492"
08125,CO,Yuma County,"10,019"
09000,CT,Connecticut,"3,565,287"
09001,CT,Fairfield County,"943,332"
09003,CT,Hartford County,"891,720"
09005,CT,Litchfield County,"180,333"
09007,CT,Middlesex County,"162,436"
09009,CT,New Haven County,"854,757"
09011,CT,New London County,"265,206"
09013,CT,Tolland County,"150,721"
09015,CT,Windham County,"116,782"
10000,DE,Delaware,"973,764"
10001,DE,Kent County,"180,786"
10003,DE,New Castle County,"558,753"
10005,DE,Sussex County,"234,225"
11000,DC,District of Columbia,"705,749"
